z,ang,flow,time,delflow,Cy,Cx,Cz
0,-0.6660517,0,1609779805,,-0.0014181930667669029,0.12199175680522588,0.0
0,-0.6498319,0,1609779855,0.0,-0.0013836584964488717,0.12199215339178665,0.0
0,-0.63875,0,1609779905,0.0,-0.0013600632800017268,0.12199241873114243,0.0
0,-0.6610317,0,1609779956,0.0,-0.001407504689098164,0.12199188059272702,0.0
0,-0.6406694,0,1609780006,0.0,-0.0013641500069252958,0.12199237310077465,0.0
0,-0.1347101,0,1609780056,0.0,-0.0002868381789784329,0.12199966280223515,0.0
0,-0.2381332,0,1609780107,0.0,-0.0005070559647710072,0.12199894628335356,0.0
0,0.1457662,0,1609780157,0.0,0.0003103798808109801,0.12199960518103978,0.0
0,-0.4461368,0,1609780208,0.0,-0.0009499502416787847,0.12199630156090116,0.0
0,-0.1641633,0,1609780259,0.0,-0.00034955271343944456,0.12199949923217114,0.0
0,-2.830859,0,1609780310,0.0,-0.006025300721800501,0.12185112125545612,0.0
0,-2.139965,0,1609780358,0.0,-0.004555571757667765,0.12191491609298978,0.0
0,-0.7048838,0,1609780409,0.0,-0.0015008724039669282,0.121990767609795,0.0
0,-1.694339,0,1609780460,0.0,-0.003607233089320684,0.1219466599355608,0.0
0,-2.0893,0,1609780510,0.0,-0.004447764157879502,0.12191889678797083,0.0
0,-2.844684,0,1609780560,0.0,-0.006054702218726632,0.121849663852809,0.0
0,-2.930411,0,1609780611,0.0,-0.006237009083513661,0.12184046830873627,0.0
0,-2.852453,0,1609780661,0.0,-0.006071224323050893,0.12184884174754881,0.0
0,-2.24587,0,1609780711,0.0,-0.0047809102740692675,0.12190628735611342,0.0
0,-2.34982,0,1609780753,0.0,-0.005002073174769223,0.12189741286817474,0.0
0,-2.757123,0,1609780804,0.0,-0.005868481183711177,0.12185877452443228,0.0
0,-3.012721,0,1609780855,0.0,-0.006412036229228731,0.12183138262120748,0.0
0,-2.999752,0,1609780905,0.0,-0.006384459318458076,0.12183283087579865,0.0
0,-2.929914,0,1609780955,0.0,-0.006235952204163952,0.1218405224057554,0.0
0,-2.875855,0,1609781006,0.0,-0.006120991993969348,0.12184635184120107,0.0
0,-2.824701,0,1609781056,0.0,-0.006012204448330922,0.12185176813518739,0.0
0,-2.865597,0,1609781107,0.0,-0.0060991770278080405,0.12184744576552871,0.0
0,-3.015456,0,1609781157,0.0,-0.006417851813127125,0.12183107640542597,0.0
0,-2.901573,0,1609781207,0.0,-0.006175683789212585,0.12184359207498627,0.0
0,-3.498025,0,1609781257,0.0,-0.007443724291860199,0.12177270206687034,0.0
0,-3.331962,0,1609781309,0.0,-0.007090754082813865,0.12179376505608593,0.0
0,-1.472483,0,1609781360,0.0,-0.0031350154109887926,0.12195971334163123,0.0
0,0.1124171,0,1609781411,0.0,0.00023936976714524811,0.12199976517237472,0.0
0,-1.487484,0,1609781462,0.0,-0.0031669464100619327,0.12195888836175818,0.0
0,-1.402891,0,1609781503,0.0,-0.002986879704432502,0.12196343119817206,0.0
0,-1.622896,0,1609781553,0.0,-0.0034551731345658426,0.1219510630482989,0.0
0,-1.825654,0,1609781610,0.0,-0.0038867103728791727,0.1219380723255758,0.0
0,-1.532663,0,1609781661,0.0,-0.003263112719037198,0.12195635323911115,0.0
0,-1.32926,0,1609781711,0.0,-0.0028301416633155474,0.12196716893560153,0.0
0,-1.105143,0,1609781761,0.0,-0.0023530369437541956,0.12197730615627371,0.0
0,-1.40652,0,1609781803,0.0,-0.0029946046180650784,0.1219632417705493,0.0
0,-1.091504,0,1609781853,0.0,-0.0023240007338117437,0.12197786283006126,0.0
0,-0.5988893,0,1609781904,0.0,-0.0012751927762331486,0.12199333540560091,0.0
0,-1.503546,0,1609781954,0.0,-0.0032011356038540843,0.12195799576430295,0.0
0,-1.161406,0,1609782004,0.0,-0.0024728144060800817,0.12197493672436596,0.0
0,-2.055036,0,1609782055,0.0,-0.004374853475197407,0.12192153483724913,0.0
0,-1.384102,0,1609782105,0.0,-0.0029468840871465928,0.12196440412750321,0.0
0,-2.205376,0,1609782155,0.0,-0.004694751376428041,0.12190963583537408,0.0
0,-2.149462,0,1609782205,0.0,-0.004575779570129035,0.12191415931435359,0.0
0,-1.40362,0,1609782256,0.0,-0.002988431499839501,0.12196339318488465,0.0
0,-1.463174,0,1609782308,0.0,-0.003115200245771724,0.12196022108633922,0.0
0,-3.608109,0,1609782358,0.0,-0.007677675741673114,0.12175817547584114,0.0
0,-2.879599,0,1609782409,0.0,-0.006128954046254676,0.12184595160405985,0.0
0,-4.289979,0,1609782459,0.0,-0.009126126863669029,0.12165818430532414,0.0
0,-3.555236,0,1609782509,0.0,-0.007565313078034247,0.12176520865186133,0.0
0,-4.188676,0,1609782560,0.0,-0.008911012416803804,0.12167412977994775,0.0
0,-3.983685,0,1609782610,0.0,-0.008475634519016876,0.1217052325066595,0.0
0,-3.826478,0,1609782661,0.0,-0.008141670681058151,0.12172802963377496,0.0
0,-3.986537,0,1609782711,0.0,-0.008481692604347077,0.12170481046600157,0.0
0,-3.812129,0,1609782761,0.0,-0.008111185187668443,0.12173006479441037,0.0
0,-4.171805,0,1609782813,0.0,-0.008875184536197178,0.12167674839281516,0.0
0,-3.764251,0,1609782861,0.0,-0.008009461227010945,0.12173680023252216,0.0
0,-3.516432,0,1609782911,0.0,-0.007482844940855049,0.12177030439146944,0.0
0,-3.261515,0,1609782961,0.0,-0.00694099941733298,0.12180239130283356,0.0
0,-2.628682,0,1609783011,0.0,-0.0055952936167745606,0.12187162380694729,0.0
0,-2.74355,0,1609783062,0.0,-0.005839613462915082,0.12186016131042884,0.0
0,-2.315705,0,1609783103,0.0,-0.0049294922476489185,0.12190036959000726,0.0
0,-2.439649,0,1609783153,0.0,-0.0051931791528076485,0.12188942074801587,0.0
0,-2.203598,0,1609783203,0.0,-0.004690968279944521,0.1219097814639849,0.0
0,-3.899997,0,1609783254,0.0,-0.008297859088047808,0.1217174824524189,0.0
0,-1.923159,0,1609783304,0.0,-0.004094216818185283,0.121931281419682,0.0
0,-3.115911,0,1609783355,0.0,-0.006631444671849601,0.12181963692920857,0.0
0,-1.855998,0,1609783405,0.0,-0.00395128855812936,0.1219359968127968,0.0
0,-3.01967,0,1609783456,0.0,-0.006426812249049697,0.12183060405462769,0.0
0,-2.206258,0,1609783506,0.0,-0.00469662802891179,0.12190956355084716,0.0
0,-2.487117,0,1609783556,0.0,-0.005294159439628381,0.12188507650991484,0.0
0,-1.586501,0,1609783607,0.0,-0.003377707593156013,0.12195323321427413,0.0
0,-1.033308,0,1609783657,0.0,-0.0022001052002965133,0.12198016042417566,0.0
0,-1.528111,0,1609783707,0.0,-0.0032534235950891235,0.1219566121000043,0.0
0,-1.05554,0,1609783758,0.0,-0.002247435970415133,0.12197929755314581,0.0
0,-1.960302,0,1609783808,0.0,-0.00417326005689385,0.12192860165071005,0.0
0,-1.926862,0,1609783859,0.0,-0.0041020971725272476,0.12193101655767143,0.0
0,-2.180926,0,1609783911,0.0,-0.004642728085660877,0.12191162814072583,0.0
0,-2.553862,0,1609783961,0.0,-0.005436142179780451,0.12187882653767722,0.0
0,-2.467069,0,1609784012,0.0,-0.005251511088324172,0.12188692149401924,0.0
0,-2.584281,0,1609784053,0.0,-0.005500848306226008,0.12187592324947487,0.0
0,-2.420475,0,1609784110,0.0,-0.005152388637505199,0.12189115181721807,0.0
0,-2.485173,0,1609784161,0.0,-0.005290023973363668,0.12188525606635627,0.0
0,-2.494215,0,1609784211,0.0,-0.005309258945221353,0.12188441971578069,0.0
0,-8.556907,0,1609784261,0.0,-0.018152580443123883,0.12064196543183435,0.0
0,-4.087448,0,1609784311,0.0,-0.008696029404886223,0.12168968350928255,0.0
0,-3.776801,0,1609784354,0.0,-0.008036126119869234,0.12173504292924678,0.0
0,-1.641428,0,1609784404,0.0,-0.00349461734363209,0.12194993911282442,0.0
0,-1.769402,0,1609784455,0.0,-0.0037669918399097224,0.12194182946174809,0.0
0,-1.388632,0,1609784505,0.0,-0.002956527000238854,0.12196417075558239,0.0
0,-1.530921,0,1609784555,0.0,-0.0032594048010102933,0.121956452393234,0.0
0,-1.197704,0,1609784606,0.0,-0.002550087419256532,0.12197334567090529,0.0
0,-2.089244,0,1609784656,0.0,-0.004447644996251894,0.12191890113508781,0.0
0,-1.984494,0,1609784706,0.0,-0.004224741603257091,0.12192682870634218,0.0
0,-1.522192,0,1609784756,0.0,-0.0032408247232951883,0.12195694754753776,0.0
0,-0.8940495,0,1609784807,0.0,-0.0019036238551562302,0.12198514752304102,0.0
0,-1.041375,0,1609784858,0.0,-0.0022172794618182967,0.12197984944976853,0.0
0,-0.8885024,0,1609784908,0.0,-0.0018918138348077375,0.12198533125099276,0.0
0,-1.001752,0,1609784960,0.0,-0.002132923552730179,0.12198135364521173,0.0
0,-1.234121,0,1609785010,0.0,-0.002627612737092277,0.12197170020666216,0.0
0,-1.398183,0,1609785060,0.0,-0.0029768579468778963,0.12196367621863533,0.0
0,-1.259626,0,1609785111,0.0,-0.0026819077169534075,0.12197051845014739,0.0
0,-1.271416,0,1609785161,0.0,-0.0027070060603451786,0.1219699640001146,0.0
0,0.5084134,0,1609785211,0.0,0.001082551303940586,0.12199519696559506,0.0
0,-5.881185,0,1609785262,0.0,-0.012500838221381292,0.12135785530307815,0.0
0,-2.86782,0,1609785303,0.0,-0.006103904541966071,0.12184720903386571,0.0
0,-1.667835,0,1609785361,0.0,-0.003550822367624142,0.12194831552962747,0.0
0,-3.380299,0,1609785403,0.0,-0.007193501614939656,0.12178773967241473,0.0
0,-2.959593,0,1609785454,0.0,-0.0062990643007083584,0.121837275859794,0.0
0,-4.122884,0,1609785504,0.0,-0.008771289748567456,0.12168428196010639,0.0
0,-4.242449,0,1609785554,0.0,-0.009025201580832485,0.12166571306833054,0.0
0,-3.942537,0,1609785604,0.0,-0.008388227527581308,0.12171128805063862,0.0
0,-3.453429,0,1609785654,0.0,-0.007348940625255799,0.1217784589805868,0.0
0,-3.398502,0,1609785705,0.0,-0.007232193494277173,0.12178544813425508,0.0
0,-2.976357,0,1609785755,0.0,-0.006334712033098069,0.12183542762044922,0.0
0,-2.767682,0,1609785806,0.0,-0.005890938354101114,0.12185769095673929,0.0
0,-2.513043,0,1609785856,0.0,-0.0053493111691059764,0.12188266845624966,0.0
0,-1.827547,0,1609785908,0.0,-0.0038907390928178617,0.12193794384567758,0.0
0,-1.686117,0,1609785958,0.0,-0.0035897335881166894,0.12194717632141527,0.0
0,-2.162893,0,1609786008,0.0,-0.004604357972751514,0.12191308333258888,0.0
0,-2.04601,0,1609786059,0.0,-0.004355646704846498,0.1219222225100189,0.0
0,-2.216749,0,1609786109,0.0,-0.0047189498949199256,0.12190870154295481,0.0
0,-2.185339,0,1609786159,0.0,-0.00465211787370468,0.12191127018979483,0.0
0,-2.441119,0,1609786210,0.0,-0.005196306387519746,0.12188928746992912,0.0
0,-0.4945166,0,1609786260,0.0,-0.0010529619576501697,0.12199545594453812,0.0
0,-1.692315,0,1609786310,0.0,-0.0036029252647180325,0.12194678728665571,0.0
0,-0.7141168,0,1609786360,0.0,-0.001520530739109445,0.1219905241659016,0.0
0,-1.751361,0,1609786412,0.0,-0.0037285952384993382,0.12194300954768765,0.0
0,-1.083151,0,1609786454,0.0,-0.0023062178795019033,0.12197820034371824,0.0
0,-1.021068,0,1609786504,0.0,-0.0021740467359322464,0.12198062764549944,0.0
0,-1.729755,0,1609786562,0.0,-0.003682610773087389,0.12194440691517566,0.0
0,-2.497104,0,1609786603,0.0,-0.0053154046631904645,0.1218841518544004,0.0
0,-2.608865,0,1609786653,0.0,-0.005553141313117528,0.12187355177214024,0.0
0,-2.851567,0,1609786703,0.0,-0.006069340098483366,0.12184893561606906,0.0
0,-3.568072,0,1609786754,0.0,-0.007592592004001367,0.12176351073560902,0.0
0,-2.985815,0,1609786804,0.0,-0.00635482371556262,0.12183438026905263,0.0
0,-3.247155,0,1609786854,0.0,-0.00691047195394708,0.12180412709499505,0.0
0,-2.91857,0,1609786906,0.0,-0.006211828858747204,0.12184175467478148,0.0
0,-3.229427,0,1609786956,0.0,-0.006872783968865311,0.1218062594471947,0.0
0,-2.828694,0,1609787008,0.0,-0.006020696404935374,0.12185134884275839,0.0
0,-2.47894,0,1609787059,0.0,-0.005276764487246005,0.12188583082764845,0.0
